,lng,lat,type
148,108.93766299999999,34.261723,2.0
149,108.93278,34.261705,3.0
150,108.942423,34.26184,3.0
151,108.936377,34.263915,2.0
152,108.94918999999999,34.279846,2.0
153,108.942466,34.279815,2.0
154,108.93203500000001,34.264611,3.0
155,108.94403100000001,34.274926,3.0
156,108.94919099999998,34.279066,2.0
157,108.949901,34.279879,2.0
158,108.938115,34.261727,3.0
159,108.934205,34.272811,3.0
160,108.94248300000001,34.258523,3.0
161,108.906102,34.247288,2.0
162,108.90606499999998,34.245488,3.0
163,108.907677,34.243660999999996,2.0
164,108.901082,34.256365,2.0
165,108.901028,34.255988,2.0
166,108.916004,34.250254,2.0
167,108.907715,34.242455,2.0
168,108.937572,34.266937,2.0
169,108.94231299999998,34.2616,3.0
170,108.948475,34.29286,2.0
171,108.952479,34.26959,3.0
172,108.937878,34.279746,2.0
173,108.932574,34.279608,2.0
174,108.901425,34.264049,2.0
175,108.901049,34.274613,2.0
176,108.91834399999999,34.264235,2.0
177,108.923116,34.279996000000004,3.0
178,108.938166,34.298728000000004,2.0
179,108.949643,34.29591,2.0
180,108.90493899999998,34.254658,2.0
181,108.91431299999999,34.255033000000005,3.0
182,108.91,34.2637,3.0
183,108.9098,34.2627,2.0
184,108.91953500000001,34.256977,2.0
185,108.894682,34.252280999999996,2.0
186,108.90124499999999,34.269085,3.0
187,108.92877800000001,34.289328999999995,2.0
188,108.9456,34.2977,2.0
189,108.901122,34.266562,2.0
190,108.89210200000001,34.256536,2.0
191,108.93915,34.292320000000004,2.0
192,108.938879,34.292296,2.0
193,108.924287,34.292347,2.0
194,108.90126200000002,34.26045,2.0
195,108.94180700000001,34.29247,2.0
196,108.924573,34.2694,2.0
197,108.917351,34.265799,2.0
198,108.926629,34.269486,2.0
199,108.90155,34.261756,2.0
200,108.901294,34.257049,2.0
201,108.89589699999999,34.263298999999996,2.0
202,108.91668500000002,34.288707,2.0
203,108.89290700000001,34.282227,2.0
204,108.896957,34.291366,3.0
205,108.89779899999999,34.284587,2.0
206,108.89779899999999,34.284587,3.0
207,108.904312,34.240641,2.0
208,108.911429,34.250239,2.0
209,108.893033,34.282422,2.0
210,108.915152,34.28582,2.0
211,108.92146699999999,34.274994,2.0
212,108.915006,34.2794,2.0
213,108.910972,34.256719,3.0
214,108.910972,34.256719,3.0
215,108.911956,34.286296,2.0
216,108.92877,34.287084,2.0
217,108.91426799999999,34.280839,2.0
218,108.917994,34.286396999999994,2.0
219,108.90663,34.286195,2.0
220,108.904564,34.286281,2.0
221,108.921423,34.287943,2.0
222,108.91274299999999,34.273270000000004,2.0
223,108.89471499999999,34.268335,2.0
224,108.89470700000001,34.265459,3.0
225,108.90401999999999,34.244649,3.0
226,108.922836,34.259912,2.0
227,108.86290100000001,34.269888,3.0
228,108.921472,34.255525,3.0
229,108.91757199999999,34.268767,2.0
230,108.92228,34.267723,2.0
231,108.91446,34.268607,2.0
232,108.91779199999999,34.294391,3.0
233,108.87083700000001,34.264833,2.0
234,108.887325,34.256859999999996,1.0
235,108.87273300000001,34.269138,3.0
236,108.916003,34.269187,2.0
237,108.911956,34.286296,2.0
238,108.888411,34.264134999999996,2.0
239,108.88883999999999,34.257034999999995,3.0
240,108.890796,34.286438000000004,
241,108.872285,34.252995,2.0
242,108.872672,34.266088,2.0
243,108.87216699999999,34.261082,3.0
244,108.878495,34.266751,3.0
245,108.870415,34.291353,2.0
246,108.86080700000001,34.285501000000004,3.0
247,108.856778,34.285534999999996,3.0
248,108.85779699999999,34.287458,2.0
249,108.86417,34.292963,2.0
250,108.888369,34.269023,2.0
251,108.89441639,34.244965914,3.0
252,108.959901,34.268178000000006,3.0
253,108.96073899999999,34.267043,2.0
254,108.95665,34.267964,2.0
255,108.95753799999999,34.275225,3.0
256,108.95758700000002,34.274912,3.0
257,108.96695600000001,34.268628,3.0
258,108.95611399999999,34.273778,3.0
259,108.956088,34.268402,3.0
260,108.96696499999999,34.269419,3.0
261,108.966979,34.274293,2.0
262,108.96698300000001,34.275434,3.0
263,108.973409,34.2663,3.0
264,108.9734,34.267029,3.0
265,108.96914,34.272147,2.0
266,108.96783799999999,34.273437,2.0
267,108.97308999999998,34.272297,3.0
268,108.973497,34.268136,3.0
269,108.975195,34.274772,3.0
270,108.976655,34.270803,2.0
271,108.949357,34.237019000000004,2.0
272,108.959446,34.269759,3.0
273,108.973972,34.270459,3.0
274,108.971347,34.270094,3.0
275,108.96096599999998,34.268328000000004,3.0
276,108.976184,34.282436,2.0
277,108.977429,34.276266,2.0
278,108.96791999999999,34.283262,2.0
279,108.977356,34.271152,3.0
280,108.971825,34.270703000000005,3.0
281,108.957516,34.276195,2.0
282,108.973409,34.268933,3.0
283,108.9751,34.273672,2.0
284,108.969513,34.272229,2.0
285,108.97263999999998,34.274776,2.0
286,108.96516799999999,34.280006,2.0
287,108.960722,34.282196,3.0
288,108.96169599999999,34.277894,2.0
289,108.96707099999999,34.277215000000005,2.0
290,108.973299,34.292842,2.0
291,108.98433100000001,34.303765999999996,2.0
292,108.99068100000001,34.301427000000004,2.0
293,108.979134,34.298973,2.0
294,108.962349,34.287704999999995,2.0
